node_id,parent_id,label,node_type,"answer"
root,,何が知りたいですか？,category,
basic,root,基礎知識,category,
before,root,開通前,category,
after,root,開通後,category,
setting,root,設定関係,category,
basic_contract,basic,契約・申込,category,
basic_fee,basic,料金・支払い,category,
basic_plan,basic,プラン・オプション,category,
before_contract,before,契約・申込,category,
before_construction,before,工事・開通,category,
before_mypage,before,マイページ・手続き,category,
after_fee,after,料金・支払い,category,
after_trouble,after,故障・不具合,category,
after_mypage,after,マイページ・手続き,category,
after_plan,after,プラン・オプション,category,
setting_setting,setting,設定・接続,category,
setting_trouble,setting,故障・不具合,category,
basic_apply,basic_contract,新規申込,category,
basic_area,basic_contract,提供エリア確認,category,
basic_conditions,basic_contract,契約条件,category,
basic_namechange,basic_contract,名義変更,category,
basic_transfer,basic_contract,事業者変更番号・転用番号,category,
basic_move,basic_contract,引越し・移転手続き,category,
basic_cancel,basic_contract,解約関連,category,
basic_initial,basic_fee,初期費用,category,
basic_payment,basic_fee,支払方法,category,
basic_option,basic_fee,オプション料金,category,
basic_other,basic_fee,その他の料金,category,
basic_arrears,basic_fee,未納・利用停止,category,
basic_internet,basic_plan,インターネットプラン,category,
basic_phone,basic_plan,電話サービス・オプション,category,
basic_tv,basic_plan,テレビサービス,category,
basic_business,basic_plan,ビジネス向けオプション,category,
basic_security,basic_plan,セキュリティ,category,
basic_change,basic_plan,プラン変更,category,
before_apply,before_contract,新規申込,category,
before_area,before_contract,提供エリア確認,category,
before_conditions,before_contract,契約条件,category,
before_namechange,before_contract,名義変更,category,
before_transfer,before_contract,事業者変更番号・転用番号,category,
before_move,before_contract,引越し・移転手続き,category,
before_cancel,before_contract,解約関連,category,
before_flow,before_construction,工事の流れ,category,
before_start,before_construction,開通までの期間,category,
before_impossible,before_construction,工事不可の理由,category,
before_payment,before_mypage,支払情報の確認・変更,category,
before_invoice,before_mypage,明細確認・郵送,category,
before_password,before_mypage,ID・パスワード関連,category,
before_usage,before_mypage,マイページでできること,answer,"マイページログインURL：[ここからアクセス](https://www.slim-j.net/mypage/)\n※IDとパスワードは会員登録書に記載。紛失時は再発行に数日かかる。\n\nマイページでは以下のことが可能\n・利用明細の確認とダウンロード（過去の明細も確認可）\n・利用明細にインボイス情報が載っているため確定申告にも使用可\n・住所や電話番号などお客様情報の変更\n・明細の送付先変更\n・支払方法の変更申込\n・契約内容変更の申込\n・解約の申込\n・パスワード変更"
after_initial,after_fee,初期費用,category,
after_payment,after_fee,支払方法,category,
after_option,after_fee,オプション料金,category,
after_other,after_fee,その他の料金,category,
after_arrears,after_fee,未納・利用停止,category,
after_speed,after_trouble,速度が遅い,category,
after_equipment,after_trouble,機器故障,category,
after_phone,after_trouble,電話の不具合,category,
after_internet,after_trouble,ネットが繋がらない,category,
after_wifi,after_trouble,Wi-Fiの不具合,category,
after_my_payment,after_mypage,支払情報の確認・変更,category,
after_invoice,after_mypage,明細確認・郵送,category,
after_password,after_mypage,ID・パスワード関連,category,
after_usage,after_mypage,マイページでできること,answer,"マイページログインURL：[ここからアクセス](https://www.slim-j.net/mypage/)\n※IDとパスワードは会員登録書に記載。紛失時は再発行に数日かかる。\n\nマイページでは以下のことが可能\n・利用明細の確認とダウンロード（過去の明細も確認可）\n・利用明細にインボイス情報が載っているため確定申告にも使用可\n・住所や電話番号などお客様情報の変更\n・明細の送付先変更\n・支払方法の変更申込\n・契約内容変更の申込\n・解約の申込\n・パスワード変更"
after_plan_internet,after_plan,インターネットプラン,category,
after_plan_phone,after_plan,電話サービス・オプション,category,
after_tv,after_plan,テレビサービス,category,
after_business,after_plan,ビジネス向けオプション,category,
after_security,after_plan,セキュリティ,category,
after_change,after_plan,プラン変更,category,
setting_pppoe,setting_setting,PPPoE,category,
setting_ipv6,setting_setting,IPv6,category,
setting_wifi,setting_setting,Wi-Fi,category,
setting_provider,setting_setting,プロバイダー,category,
setting_phone,setting_setting,電話,category,
setting_email,setting_setting,メール,category,
setting_device,setting_setting,新しい端末の接続,category,
setting_trouble_speed,setting_trouble,速度が遅い,category,
setting_trouble_equipment,setting_trouble,機器故障,category,
setting_trouble_phone,setting_trouble,電話の不具合,category,
setting_trouble_internet,setting_trouble,ネットが繋がらない,category,
setting_trouble_wifi,setting_trouble,Wi-Fiの不具合,category,
basic_apply_corporation,basic_apply,法人での申込は可能か,answer,"個人・法人ともに、すべてのプランで申込み可能。"
basic_area_slim,basic_area,スリム光の利用可能エリア,answer,"スリム光はNTT東日本・NTT西日本のフレッツ光と同じ提供エリアで利用できる。\n提供エリアの確認：[フレッツ光提供エリア](https://bb-fletsnavi.com/westlp/nttwest/index.html)"
