質問,"回答"
Wi-Fiの周波数について教えてください。,"周波数ごとに特徴が異なる。\n\n■2.4GHz\n・通信距離が長い\n・壁や床などの障害物に強い\n・遠い部屋や階が違う場合に向いている\n\n■5GHz\n・通信距離は短い\n・障害物に弱い\n・ルーターの近くで利用する場合に向いている"
スリム光やひかり電話など各種サービスを解約する場合、解約金・違約金や手数料はいくらかかりますか？,"サービス内容・利用期間・申込時期によって異なる。\n\n・工事費が残っている場合：満了が2年のため、満了前の解約は残工事費を請求。\n・解約金：2年自動更新。更新月を含む2ケ月以外の解約は解約金が発生。\n➤定額プラン：5,000円\n➤電話のみプラン：2,200円\n・解約希望は1ヶ月前までに連絡が必要。"
パソコン・スマートフォンを買い替えた場合、Wi-Fi接続の設定はどうすれば良いですか？,"回線側の設定は不要。新しい端末でWi-Fiネットワークを再設定するだけでよい。\n\n■PC（Windows）\n・タスクバーのネットワークアイコンから接続するWi-Fiを選び、パスワードを入力。\n参考URL：[Microsoft サポート](https://support.microsoft.com/ja-jp/windows/windows-%E3%81%A7-wi-fi-%E3%83%8D%E3%83%83%E3%83%88%E3%83%AF%E3%83%BC%E3%82%AF%E3%81%AB%E6%8E%A5%E7%B6%9A%E3%81%99%E3%82%8B-1f881677-b569-0cd5-010d-e3cd3579d263)\n\n■Android\n・設定→ネットワークとインターネット→利用するWi-Fiを選択し、パスワードを入力。\n参考URL：[Google サポート](https://support.google.com/android/answer/9075847?hl=ja)\n\n■iPhone / iPad\n・設定→Wi-Fi→ネットワークを選び、パスワードを入力。\n参考URL：[Apple サポート](https://support.apple.com/ja-jp/111107)"
スリム光を契約した際の初期費用はいくらですか？,"プランや利用状況により初期費用が異なる。以下を基本とする。\n\n■ネットのみ（通常）\n・引込工事：22,000円\n・契約料：880円\n・セットアップ料：2,900円（必要な場合のみ）\n\n■ネット＋電話（通常）\n引込工事：22,000円\n・契約料：880円\n・セットアップ料：2,900円（必要な場合のみ）\n・鳴り分け（2番号以上）：1,100円\n・交換機等工事費：1,100円（必要な場合のみ）\n・同番移行工事費（1番号）：2,200円\n休止工事費：1,100円（必要な場合のみ）\n\n■ネットのみ（通常以外）\n・引込工事：22,000円（分割請求）\n・契約料：880円\n\n■ネット＋電話（通常以外）\n・引込工事：22,000円（分割請求）\n・契約料：880円\n・交換機等工事費：1,100円（必要な場合のみ）\n・同番移行工事費（1番号）：2,200円\n休止工事費：1,100円（必要な場合のみ）\n\n※状況により不要な費用・会社負担になる費用があるため、必ず個別確認すること。\n※基本同額の割引にて相殺のため実質無料。"
料金未納で電話やインターネットが停止しています。未払い料金の支払後、どれくらいで復旧しますか？,"入金確認後、早ければ30分〜1時間ほどで復旧する。遅い場合は数時間かかることもある。\n復旧作業は手動対応のため、営業時間内のみ受付可能。\n・平日：10:00〜19:00\n・土曜：10:00〜17:00\n・日曜、祝日、年末年始：対応不可"
スリム光はどのエリアで利用できますか？,"スリム光はNTT東日本・NTT西日本のフレッツ光と同じ提供エリアで利用できる。\n提供エリアの確認はこちら：[フレッツ光 エリア確認](https://bb-fletsnavi.com/westlp/nttwest/index.html?vd=g1_5_2&gad_source=1&gad_campaignid=22613274467&gbraid=0AAAAA_yDh7HgPrwXQE2cYcWahoCyurNme&gclid=CjwKCAjwiY_GBhBEEiwAFaghvtjmVM4oU-xi7ssgbMYWBRYK9are89Qbfbe5Lxl9ClEqKatp88o05hoCSl0QAvD_BwE)"
固定IPアドレスとは何ですか？,"固定IPアドレスとは、常に同じIPアドレスでインターネット接続できるサービス。再接続やルーター再起動後もIPが変わらない。\n料金：月額1,650円(税込)"
光回線の工事はどのように行われますか？,"建物や環境により異なるが、標準的な宅内工事は以下の流れになる（所要時間:約1〜2時間）\n\n①光ファイバーケーブルの引き込み\n・電柱から光ファイバーを宅内に引き込む\n・既存の電話線、エアコンダクト、配管を活用することが多い\n・必要な場合は壁に小さな穴を開ける場合もある\n\n②光コンセントの設置\n・宅内に光コンセント(光ケーブルの差し込み口)を設置\n\n③ONU（回線終端装置）の設置\n・光コンセント付近にONUを設置し、電源を投入して回線を終端する"
光回線の開通までどれくらい時間がかかりますか？,"標準開通期間は、申込後おおよそ2週間〜2ケ月。\n・地域や建物状況により変動する\n・引っ越しシーズン（春）は特に混雑し、通常より時間がかかる"
最低利用期間はありますか？,"最低利用期間は2年。契約は2年契約の自動更新。更新月を含む2ケ月以外の解約は解約金が発生する。\n\n■解約金\n・定額制プラン：5,000円\n・電話のみプラン：2,000円\n\n工事費残債\n・工事費が分割中の場合、契約満了の2年より前に解約すると残工事費も請求される\n\n■プラン変更\n・プラン変更時は事務手数料の3,300円が発生"
