No,質問,期待回答,実際回答,スコア,判定
0,Wi-Fiの周波数・設定について,ご利用場所により、異なります。\n\n2.4GHzの利用\n通信距離が広く、障害物(壁や床など)に強い特徴があるため、ルーターとの距離が離れる場合(ルーターと離れた部屋、階数が違う部屋)でご利用の場合、おすすめします。\n\n5GHzの利用\n通信距離が狭く、障害物(壁や床など)に弱い特徴があるため、ルーターの近くで接続できる場合のご利用をおすすめします。,"お問い合わせありがとうございます。Wi-Fiの周波数と設定についてですね。

Wi-Fiの電波が弱い場合、電子レンジなどの電波干渉を受けやすい2.4GHz帯の周波数をご利用になっていることが原因の一つとして考えられます。
その際の対処法として、Wi-Fiの周波数帯を5GHz帯に変更する方法がございます。

また、新しいパソコンやスマートフォンでのWi-Fi設定は、端末側の操作のみで完了します。回線側での手続きは必要ありません。
詳しい設定方法については、お使いの端末のOSに応じた以下のURLをご参照ください。

*   **Windows:** https://support.microsoft.com/ja-jp/windows/windows-%E3%81%A7-wi-fi-%E3%83%8D%E3%83%83%E3%83%88%E3%83%AF%E3%83%BC%E3%82%AF%E3%81%AB%E6%8E%A5%E7%B6%9A%E3%81%99%E3%82%8B-1f881677-b569-0cd5-010d-e3cd3579d263
*   **Android:** https://support.google.com/android/answer/9075847?hl=ja
*   **iPhone:** https://support.apple.com/ja-jp/111107",0.834,〇
1,各種サービスの解約にかかる費用を教えて下さい。,ご利用のサービス、ご利用期間、申込時期により異なります。\n詳しくは、ご契約者様ご本人から0120-36-3624までお問い合せください。,申し訳ありませんが、その質問に対する関連情報が見つかりませんでした。他のキーワードでお試しください。,0.0,×
2,パソコン・スマートフォンを買い替えました。手続きや、設定方法を教えてください。,回線側の設定は特に必要ありません。\n買い換えた端末側の設定が必要となります。\n下記、参考URLとなります。\n\nパソコン\n(Microsoft参考URL)\nhttps://support.microsoft.com/ja-jp/windows/windows-%E3%81%A7-wi-fi-%E3%83%8D%E3%83%83%E3%83%88%E3%83%AF%E3%83%BC%E3%82%AF%E3%81%AB%E6%8E%A5%E7%B6%9A%E3%81%99%E3%82%8B-1f881677-b569-0cd5-010d-e3cd3579d263 \n\nAndroid\n(Google参考URL)\nhttps://support.google.com/android/answer/9075847?hl=ja \n\niPhone\n(Apple参考URL)\nhttps://support.apple.com/ja-jp/111107,申し訳ありませんが、その質問に対する関連情報が見つかりませんでした。他のキーワードでお試しください。,0.0,×
3,スリム光の初期費用を教えてください。,契約料 880円 引込工事料金が22000円となります。\nひかり電話・スリムテレビがある場合、別途費用がかかります。,申し訳ありませんが、その質問に対する関連情報が見つかりませんでした。他のキーワードでお試しください。,0.0,×
4,料金未納により、電話・インターネットが使えなくなったので、支払いをして利用を再開したい,未納分の料金をお支払い後、1時間程度でご利用を再開できます。\n平日 10時〜19時 土曜日 10時〜17時までにお問合せください。,申し訳ありませんが、その質問に対する関連情報が見つかりませんでした。他のキーワードでお試しください。,0.0,×
5,料金未納で、至急支払いをしたい。振込先の口座を教えて欲しい,0120-36-3624までお問い合わせください。,申し訳ありませんが、その質問に対する関連情報が見つかりませんでした。他のキーワードでお試しください。,0.0,×
6,お引越し先でも使えるかどうかを知りたい,スリム光サービスはNTT東西のフレッツ光と同じ提供エリアとなります。\n下記、URLにて提供判断をすることができます。\n\nhttps://bb-fletsnavi.com/westlp/nttwest/index.html?vd=g1_5_2&gad_source=1&gad_campaignid=22613274467&gbraid=0AAAAA_yDh7HgPrwXQE2cYcWahoCyurNme&gclid=CjwKCAjwiY_GBhBEEiwAFaghvtjmVM4oU-xi7ssgbMYWBRYK9are89Qbfbe5Lxl9ClEqKatp88o05hoCSl0QAvD_BwE,申し訳ありませんが、その質問に対する関連情報が見つかりませんでした。他のキーワードでお試しください。,0.0,×
7,固定IPについて教えてください,固定IPアドレスとは、インターネット接続時に常に同じIPアドレスを使用できるサービスです。\n当社では、月額1650円でご提供しております。(税込),"固定IPアドレスとは、インターネット接続時に常に同じIPアドレスを使用できるサービスです。
当社では、月額1,650円（税込）でご提供しております。",0.984,〇
8,光回線の工事はどのようにしますか？,ご利用場所や建物により変わりますが、おおよそは下記のような工程になります。\n宅内工事(標準工事の場合) 所要時間:約1〜2時間\n\n①光ファイバーケーブルの引き込み\n電柱から光ファイバーを宅内へ引き込みます。\n存在の電話線・エアコンダクト・配管などを活用することが多い。\n必要に応じて壁に小さな穴があることもある。\n\n②光コンセントの設置\n室内に「光コンセント」(光回線終端装置)を設置。\n設置場所は、基本的には電話配線付近やWi-Fiルーターの設置場所を考慮します。\n回線終端装置(ONU)の設置,申し訳ありませんが、その質問に対する関連情報が見つかりませんでした。他のキーワードでお試しください。,0.0,×
9,開通までどれくらい時間がかかりますか？(開通までの期間),概ね、お申込後から2週間〜2ケ月となります。\n※時期や地域により異なります。\n※春頃は引越しシーズンのため、通常よりもお日にちがかかります。,"お申込み後、概ね2週間から2ヶ月ほどで開通いたします。

ただし、時期や地域によって期間は異なり、特に春頃は引越しシーズンのため通常よりもお時間がかかる場合がございます。",0.938,〇
