No,質問,期待回答,実際回答,スコア,判定
0,Wi-Fiの周波数・設定について,ご利用場所により、異なります。\n\n2.4GHzの利用\n通信距離が広く、障害物(壁や床など)に強い特徴があるため、ルーターとの距離が離れる場合(ルーターと離れた部屋、階数が違う部屋)でご利用の場合、おすすめします。\n\n5GHzの利用\n通信距離が狭く、障害物(壁や床など)に弱い特徴があるため、ルーターの近くで接続できる場合のご利用をおすすめします。,"お問い合わせありがとうございます。
Wi-Fiの周波数と設定についてご案内いたします。

Wi-Fiには主に「2.4GHz」と「5GHz」という2つの周波数帯があり、それぞれに特徴があります。

*   **2.4GHz**
    *   壁や床などの障害物に強く、遠くまで電波が届きやすいです。
    *   ルーターと違う部屋でWi-Fiを利用する場合におすすめです。
    *   ただし、電子レンジなど他の家電と電波が干渉することがあります。

*   **5GHz**
    *   通信速度が速く、他の家電からの電波干渉を受けにくいです。
    *   ルーターの近くで動画視聴など、安定した高速通信を行いたい場合に適しています。
    *   一方で、壁などの障害物には弱い特性があります。

ご利用の場所や状況に応じて、より快適に通信できる方の周波数帯に接続していただくのがおすすめです。

また、新しいパソコンやスマートフォンにWi-Fiを設定する方法については、以下のリンクをご参照ください。端末側の操作のみで設定が完了します。

*   **Windows:** https://support.microsoft.com/ja-jp/windows/windows-%E3%81%A7-wi-fi-%E3%83%8D%E3%83%83%E3%83%88%E3%83%AF%E3%83%BC%E3%82%AF%E3%81%AB%E6%8E%A5%E7%B6%9A%E3%81%99%E3%82%8B-1f881677-b569-0cd5-010d-e3cd3579d263
*   **Android:** https://support.google.com/android/answer/9075847?hl=ja
*   **iPhone:** https://support.apple.com/ja-jp/111107

ご不明な点がございましたら、お気軽にお尋ねください。",0.852,〇
1,各種サービスの解約にかかる費用を教えて下さい。,ご利用のサービス、ご利用期間、申込時期により異なります。\n詳しくは、ご契約者様ご本人から0120-36-3624までお問い合せください。,"お問い合わせいただきありがとうございます。
各種サービスの解約費用についてですね。

申し訳ございません。お調べいたしましたが、解約費用に関する情報が見つかりませんでした。

解約にかかる費用は、ご契約のサービス内容や契約期間によって異なる場合がございます。
大変恐れ入りますが、詳細につきましては、担当部署へお問い合わせいただくか、ご契約内容をご確認いただけますでしょうか。",0.0,×
2,パソコン・スマートフォンを買い替えました。手続きや、設定方法を教えてください。,回線側の設定は特に必要ありません。\n買い換えた端末側の設定が必要となります。\n下記、参考URLとなります。\n\nパソコン\n(Microsoft参考URL)\nhttps://support.microsoft.com/ja-jp/windows/windows-%E3%81%A7-wi-fi-%E3%83%8D%E3%83%83%E3%83%88%E3%83%AF%E3%83%BC%E3%82%AF%E3%81%AB%E6%8E%A5%E7%B6%9A%E3%81%99%E3%82%8B-1f881677-b569-0cd5-010d-e3cd3579d263 \n\nAndroid\n(Google参考URL)\nhttps://support.google.com/android/answer/9075847?hl=ja \n\niPhone\n(Apple参考URL)\nhttps://support.apple.com/ja-jp/111107,"お問い合わせいただき、ありがとうございます。
パソコンやスマートフォンを新しくされたのですね。

お問い合わせいただいた機種変更時の手続きや設定方法について、お調べいたしましたが、あいにくご案内できる情報が見つかりませんでした。大変申し訳ございません。

一般的なご案内となりますが、新しい端末で会社のメールや各種アプリケーション（チャットツール、認証アプリなど）をご利用になるには、再設定が必要な場合がございます。

お手数をおかけいたしますが、詳細な設定方法につきましては、社内の情報システム担当部署へお問い合わせいただけますでしょうか。

何卒よろしくお願い申し上げます。",0.0,×
3,スリム光の初期費用を教えてください。,契約料 880円 引込工事料金が22000円となります。\nひかり電話・スリムテレビがある場合、別途費用がかかります。,"お問い合わせいただき、ありがとうございます。

申し訳ございません。お問い合わせいただいたスリム光の初期費用に関する情報が見つかりませんでした。
恐れ入りますが、料金の詳細につきましては、担当部署へお問い合わせいただけますでしょうか。

お手数をおかけいたしますが、よろしくお願い申し上げます。",0.0,×
4,料金未納により、電話・インターネットが使えなくなったので、支払いをして利用を再開したい,未納分の料金をお支払い後、1時間程度でご利用を再開できます。\n平日 10時〜19時 土曜日 10時〜17時までにお問合せください。,"お問い合わせいただきありがとうございます。
料金未納により電話やインターネットがご利用できず、ご不便をおかけしております。

お支払期限が過ぎてしまった料金につきましては、後日、新しいお支払用紙が自動的に再送されます。
お手数ですが、そちらのお支払用紙にて料金をお支払いいただきますようお願いいたします。

当社にてご入金の確認が取れ次第、順次サービスの利用を再開させていただきます。

もし、お支払用紙が届かない場合や、お急ぎの場合は、担当部署にてご状況を確認いたしますので、お申し付けください。",0.785,〇
5,料金未納で、至急支払いをしたい。振込先の口座を教えて欲しい,0120-36-3624までお問い合わせください。,"お問い合わせいただき、ありがとうございます。
料金のお支払いについて、ご心配をおかけしております。

お支払期限が過ぎてしまった場合、請求書は後日自動的に再送されるシステムとなっております。
お手数ですが、再送された請求書に記載の方法でお支払いいただけますでしょうか。

もし、請求書の再送をお待ちいただくことが難しい場合や、その他ご不明な点がございましたら、担当部署にて個別に対応させていただきますので、その旨をお知らせください。

何卒よろしくお願い申し上げます。",0.627,×
6,お引越し先でも使えるかどうかを知りたい,スリム光サービスはNTT東西のフレッツ光と同じ提供エリアとなります。\n下記、URLにて提供判断をすることができます。\n\nhttps://bb-fletsnavi.com/westlp/nttwest/index.html?vd=g1_5_2&gad_source=1&gad_campaignid=22613274467&gbraid=0AAAAA_yDh7HgPrwXQE2cYcWahoCyurNme&gclid=CjwKCAjwiY_GBhBEEiwAFaghvtjmVM4oU-xi7ssgbMYWBRYK9are89Qbfbe5Lxl9ClEqKatp88o05hoCSl0QAvD_BwE,"お問い合わせいただきありがとうございます。
お引越し先でのご利用についてですね。

お引越し先がサービスの提供エリア内かどうかを確認する必要がございます。
ご住所によってご利用可否が異なりますので、お手数ですが、以下の窓口までお問い合わせいただき、お引越し先のご住所をお知らせください。
担当者がご利用可能かお調べいたします。

【お問い合わせ窓口】
電話番号: 0120-36-3624

お気軽にご連絡くださいませ。",0.587,×
7,固定IPについて教えてください,固定IPアドレスとは、インターネット接続時に常に同じIPアドレスを使用できるサービスです。\n当社では、月額1650円でご提供しております。(税込),"お問い合わせありがとうございます。

固定IPアドレスとは、インターネットへ接続する際に、常に同じIPアドレスを利用できるサービスのことです。
通常、インターネットに接続するたびにIPアドレスは変わることがありますが、固定IPサービスをご利用いただくと、いつでも同じIPアドレスで接続することが可能になります。

当社では、月額1,650円（税込）でこちらのサービスをご提供しております。

ご不明な点がございましたら、お気軽にお尋ねください。",0.786,〇
8,光回線の工事はどのようにしますか？,ご利用場所や建物により変わりますが、おおよそは下記のような工程になります。\n宅内工事(標準工事の場合) 所要時間:約1〜2時間\n\n①光ファイバーケーブルの引き込み\n電柱から光ファイバーを宅内へ引き込みます。\n存在の電話線・エアコンダクト・配管などを活用することが多い。\n必要に応じて壁に小さな穴があることもある。\n\n②光コンセントの設置\n室内に「光コンセント」(光回線終端装置)を設置。\n設置場所は、基本的には電話配線付近やWi-Fiルーターの設置場所を考慮します。\n回線終端装置(ONU)の設置,"お問い合わせいただきありがとうございます。
光回線の工事についてですね。

光回線の工事は、主に電柱から光ファイバーケーブルをお客様の建物内に引き込み、インターネットに接続するための機器（ONU）を設置する作業となります。

一般的な工事の流れは以下の通りです。

1.  **屋外工事**
    最寄りの電柱から、建物の外壁まで光ファイバーケーブルを引き込みます。

2.  **屋内工事**
    引き込んだケーブルを、電話線の配管やエアコンのダクトなどを利用して室内まで配線します。
    ※状況によっては、壁に小さな穴を開ける場合もございますが、その際は事前にご確認いたします。

3.  **機器の設置**
    室内に光コンセントとONU（光回線終端装置）を設置し、開通の確認を行います。

工事の際は、宅内での作業が発生するため、基本的にお客様のお立ち会いをお願いしております。作業時間は通常1〜2時間程度で完了いたします。

なお、建物の構造上の理由などにより、工事ができない場合もございます。
ご不明な点がございましたら、お気軽にお尋ねください。",0.936,〇
9,開通までどれくらい時間がかかりますか？(開通までの期間),概ね、お申込後から2週間〜2ケ月となります。\n※時期や地域により異なります。\n※春頃は引越しシーズンのため、通常よりもお日にちがかかります。,"お問い合わせありがとうございます。
開通までの期間についてですね。

光回線の開通までにかかる期間は、お申し込みいただいてから概ね**2週間から2ヶ月**が目安となります。

ただし、お住まいの地域や工事の状況、お申し込みの時期によって期間は変動いたします。
特に、春頃は引越しシーズンで混み合いますため、通常よりもお時間がかかる場合がございますので、あらかじめご了承ください。",0.882,〇
