No,質問,期待回答,実際回答,スコア,判定
10,インターネットや回線の利用休止はできますか？,利用休止はできない。期間を指定した一時停止も不可。,"お問い合わせいただき、ありがとうございます。

恐れ入りますが、お調べしたところ、インターネットや回線の一時的な利用休止に関する情報が見つかりませんでした。

サービスによっては利用休止の手続きが可能な場合もございますが、詳細な条件やお手続き方法につきましては、担当窓口へご確認いただく必要がございます。

お手数をおかけいたしますが、一度担当部署までお問い合わせいただけますでしょうか。",0,×
11,短期間だけの利用はできますか？,"短期間の利用も可能。ただし契約は2年契約の自動更新。\n\n■解約金\n・更新月を含む2か月以外の解約は解約金が発生\n・定額制プラン：5,000円\n・電話のみプラン：2,200円\n\n工事費残債\n・工事費が分割中の場合、2年満了前の解約は残工事費を請求","お問い合わせいただき、ありがとうございます。

はい、短期間でのご利用も可能でございます。

ただし、ご契約は2年間の自動更新となります。
契約期間の途中で解約される場合は、以下の点にご注意ください。

*   **解約金**
    契約更新月とその翌月の2か月間以外に解約される場合、プランに応じた解約金が発生いたします。
    ・定額制プラン：5,000円
    ・電話のみプラン：2,200円

*   **工事費**
    工事費を分割でお支払いいただいており、2年未満で解約される場合は、残りの工事費を一括でご請求させていただきます。

ご不明な点がございましたら、お気軽にお尋ねください。",0.846,〇
12,法人でも申込みはできますか？,個人・法人ともに、すべてのプランで申込み可能。,"お問い合わせいただき、ありがとうございます。

法人でのお申込みについてですね。

誠に申し訳ございませんが、お調べしたところ、法人でのお申込みに関する情報を見つけることができませんでした。
お手数をおかけいたしますが、詳細につきましては、担当窓口へ直接ご確認いただけますでしょうか。",0.755,〇
13,プロバイダー加入は必要ですか？,インターネット利用の場合は必須。\nスリム光はプロバイダー料金込みのため、別途契約は不要。\n※電話のみプランには含まれない。,"お問い合わせいただき、ありがとうございます。
ご質問いただいた内容につきまして、ご案内できる情報が見つかりませんでした。

一般的に、インターネットをご利用になるには、回線のご契約とは別にプロバイダーとのご契約が必要となります。
ただし、サービスによっては回線とプロバイダーが一体となっているプランもございます。

お手数ですが、ご利用をご検討されているサービスの契約内容をご確認いただけますと幸いです。",0,×
14,転用番号はどのような方法で取得できますか？,インターネットまたは電話で取得できる。東日本・西日本で窓口が異なる。\n\n■インターネット\n・西日本：https://flets-w.com/collabo/tenyou/entry/ \n・東日本：https://flets.com/app4/input/index/ \n\n■電話\n・西日本：0120-553-104（9:00〜17:00）\n・東日本：0120-140-202（9:00〜17:00）\n※土日祝対応可(年末年始除く),"お問い合わせありがとうございます。

転用番号は、インターネットまたはお電話にて取得いただけます。
NTT東日本エリアと西日本エリアで窓口が異なりますので、ご利用のエリアをご確認の上、お手続きください。

---

**■ インターネットでのお手続き**

*   **NTT西日本エリアをご利用の方**
    https://flets-w.com/collabo/tenyou/entry/
*   **NTT東日本エリアをご利用の方**
    https://flets.com/app4/input/index/

**■ お電話でのお手続き**

*   **NTT西日本エリアをご利用の方**
    電話番号：0120-553-104
*   **NTT東日本エリアをご利用の方**
    電話番号：0120-140-202

【受付時間】9:00〜17:00（土日祝日も対応 ※年末年始を除く）

---

ご不明な点がございましたら、お気軽にお尋ねください。",0.633,×
15,事業者変更番号がほしいです、どうすればいいですか？,当社より事業者変更番号を払い出しいたしますので、0120-36-3624までお問合せください。\n\n事業者変更時のトラブルの一例です。(実例)\n・事業者変更後、インターネットが繋がらなくなった。\n・聞いていた料金よりも高額になった。\n当社でできていたサポートが、変更先では受けれなくなった。\・何か事業者側に依頼をするときに、ガイダンスや手間がかかるようになった。\n・当社よりレンタルで提供していたサービスを返却しないといけなくなった。\n・解約金・事業者変更手数料が返金されない、または費用負担があるとは聞いていなかった。\n・事業者変更後、営業担当者と連絡が繋がらなくなった。\n\n事業者変更についてのご案内\n・発行までお時間が要します。\n・ご契約者以外の対応は致しかねます。\n・支払状況により発行致しかねる場合がございます。\n・成りすまし防止のため、期間を開けてご契約者様の固定電話(固定がない場合は、携帯電話)へご連絡し、ご説明後事業者変更番号を発行します。\n\n発行後は、郵送にてお手元に届きます。\n新しく変更される事業者様へご提出ください。,"お問い合わせいただきありがとうございます。
事業者変更承諾番号の発行についてですね。

事業者変更承諾番号の発行につきましては、ご契約者様ご本人の確認や、お支払い状況の確認などが必要となります。
そのため、お手数ではございますが、以下の窓口まで直接お問い合わせくださいますようお願いいたします。

**【お問い合わせ窓口】**
**0120-36-3624**

なお、発行にはお時間がかかる場合や、状況によっては発行できない場合もございますので、あらかじめご了承ください。

その他、ご不明な点がございましたらお気軽にお尋ねください。",0.81,〇
16,IPv6とは何ですか？,IPv6とは、インターネットプロトコルの第6版で、IPv4に続く次世代の通信規格。\n\n■IPv6の特徴\n・IPアドレスが128ビットで、約340澗(かん)個のアドレスを利用可能\n・IPv4（約43憶個）に比べ、圧倒的に多くの端末を接続できる\n・IPoE方式を利用することで、回線混雑を避けやすい\n・IPv4に比べ、通信速度が向上する場合がある\n・IPSecが標準搭載されており、セキュリティが強化されている,"お問い合わせありがとうございます。
IPv6についてご説明します。

IPv6とは、インターネットプロトコルの第6版で、現在広く使われているIPv4に続く次世代の通信規格です。

主な特徴は以下の通りです。

*   **利用可能なアドレスが非常に多い**
    IPv4のアドレスが約43億個であるのに対し、IPv6では約340澗（かん）個という、ほぼ無限に近い数のアドレスが利用でき、多くの端末をインターネットに接続できます。
*   **通信速度が向上する場合がある**
    IPoE方式という新しい接続方法を利用することで、回線の混雑を避けやすくなり、通信が快適になることがあります。
*   **セキュリティが強化されている**
    IPSecというセキュリティ技術が標準で搭載されており、より安全な通信が可能です。",0.893,〇
17,支払い方法を変更したい,請求書払い・口座振替・クレジット支払いの3種類からお選び頂けます。\n\n請求書払い手数料 275円\nご利用頂いた月の翌月中旬頃に毎月お手元に届きます。\n\n口座振替手数料 110円\nご利用頂いた月の翌月27日に引落\n\nクレジット支払い手数料 0円\n\n明細発行手数料 220円となります。,"お問い合わせいただきありがとうございます。
お支払い方法の変更をご希望とのこと、承知いたしました。

誠に申し訳ございませんが、お調べしたところ、お支払い方法の変更手続きに関する情報が見つかりませんでした。

なお、請求書の送付先変更などのお手続きは、お電話にて承っております。
お支払い方法の変更につきましても、大変お手数ですが、以下の窓口へ一度お問い合わせいただけますでしょうか。

**お問い合わせ窓口：0120-36-3624**

どうぞよろしくお願いいたします。",0,×
18,電話回線の工事はしてもらえますか？,電話回線のみの工事でできます。\nスリムひかり電話ネクスト・スリムひかり電話ネクストAと2種類サービスがございます。\n\n-月額使用料金-\nスリムひかり電話ネクスト 2750円\nスリムひかり電話ネクストA 3850円※1\n税込\n1(ナンバーディスプレイ 440円・ボイスワープ 550円・キャッチホン 330円・迷惑電話お断りサービス 220円・ナンバーリクエスト 220円)\n\n契約期間は2年となり、満了以外の場合は2200円の解約金がかかります。,"お問い合わせいただきありがとうございます。

はい、電話回線のみの工事も承っております。
ご提供しているサービスとして、「スリムひかり電話ネクスト」と「スリムひかり電話ネクストA」の2種類がございます。

■月額使用料金
*   **スリムひかり電話ネクスト**：2,750円（税込）
*   **スリムひかり電話ネクストA**：3,850円（税込）
    *   ※「A」プランには、ナンバーディスプレイやボイスワープなど5つのオプションサービスが含まれております。

なお、ご契約期間は2年となり、契約期間中にご解約される場合は2,200円（税込）の解約金が発生いたしますので、ご留意ください。",0.829,〇
19,インターネットの速度が遅い場合、どのような原因や対策がありますか？,通信速度が遅くなる原因は複数考えられる。以下を順に確認する。\n\n■まず試す対策\n・機器の再起動\n・Wi-Fiルーターの設置場所変更\n・Wi-Fiルーターの交換\n・中継器の導入\n\n■端末・機器側の原因\n・スマホやPCのストレージ、メモリ不足\n・OSやソフトウェアが未更新\n・端末やバッテリーの劣化、故障\n・古い機種を使用している\n\n■電波環境の問題\n・電子レンジやBluetooth機器との電波干渉\n・5GHz帯は直進性が高く、壁や床に弱い\n・Wi-Fi電波が届いていない場所で利用している\n\n■設定の問題\n・ルーターやネットワーク機器がループ接続されている\n\n■接続台数\n・同時接続台数が多いと通信速度が低下しやすい,"お問い合わせいただきありがとうございます。
インターネットの速度が遅い場合、いくつかの原因と対策が考えられます。

まず、Wi-Fiの電波状況が影響している可能性がございます。
ご利用の場所とWi-Fiルーターの位置関係に応じて、接続する周波数を変更することで改善する場合があります。

*   **ルーターから遠い場所や、壁などの障害物があるお部屋でご利用の場合**
    電波が届きやすい「**2.4GHz**」のWi-Fiに接続すると、通信が安定しやすくなります。

*   **ルーターの近くでご利用の場合**
    他の電波との干渉が少ない「**5GHz**」のWi-Fiに接続すると、より安定した高速通信が期待できます。

もし、上記をお試しいただいても改善しない場合は、お使いのパソコンやスマートフォン、Wi-Fiルーターを一度再起動していただくことで、状況が改善されることもございます。

お手数ですが、ご確認いただけますでしょうか。",0.872,〇
