No,質問,期待回答,実際回答,スコア,判定
10,利用休止はできますか？,利用休止はありません。,"お問い合わせいただき、ありがとうございます。

恐れ入りますが、お調べいたしましたところ、サービスの「利用休止」に関する情報が見つかりませんでした。
詳細につきましては、お手数ですが担当窓口まで直接お問い合わせいただけますでしょうか。",0,×
11,短期間も利用できますか？,短期間も利用できます。\nただし、契約期間満了時以外の解約の場合は解約金がかかります。,"お問い合わせいただきありがとうございます。

当サービスには最低利用期間が設けられております。
最低利用期間は2年で、ご契約は2年ごとの自動更新となります。

もし契約期間の途中で解約される場合は、プランに応じて以下の解約金が発生いたしますのでご注意ください。

■解約金
・定額制プラン：5,000円
・電話のみプラン：2,000円

また、工事費を分割でお支払い中の場合は、残額が一括で請求されることがございます。

ご不明な点がございましたら、お気軽にお尋ねください。",0.816,〇
12,法人でも申込みはできますか？,個人・法人問わず申込み可能です,"お問い合わせいただきありがとうございます。

法人でのお申し込みについてですね。

申し訳ございません。お調べいたしましたが、法人契約に関する情報が見つかりませんでした。
お手数をおかけしますが、詳細につきましては別途担当窓口へお問い合わせいただけますでしょうか。

よろしくお願いいたします。",0,×
13,プロバイダー加入は必要ですか？,インターネットをご利用の場合は、必須となります。\nスリム光サービスは、基本的にプロバイダ料金も含まれた価格でございます。\nご利用とともに加入となりますので、ご安心ください。\n※電話のみの場合は、セットに含まれておりません。,"お問い合わせいただき、ありがとうございます。

スリム光は、光回線とプロバイダーのサービスが一体となったプランでございます。
そのため、別途プロバイダーにご加入いただく必要はございません。スリム光のご契約のみで、インターネットをご利用いただけますのでご安心ください。",0.886,〇
14,転用番号はどのようにすればとれますか？,【取得方法】\n・インターネットからのご取得を検討されているお客様\n(西日本在住の方)\nhttps://flets-w.com/collabo/tenyou/entry/ \n(東日本在住の方)\nhttps://flets.com/app4/input/index/ ・電話でご取得を検討されているお客様\n(西日本在住の方)\n0120-553-104\n受付時間 9:00〜17:00 土日・祝日も営業(年末年始を除く)\n\n(東日本在住の方)\n0120-140-202\n受付時間 9:00〜17:00 土日・祝日も営業(年末年始を除く),"お問い合わせいただき、ありがとうございます。

誠に申し訳ございませんが、ご質問いただいた「転用番号の取得方法」に関する情報が、提示された参考情報の中に見当たりませんでした。

一般的に、転用番号は現在ご契約中のNTT東日本またはNTT西日本の窓口（お電話やWebサイト）にて取得いただけます。

お手続きの際には、フレッツ光のお客様IDやご契約者様名、設置場所住所などの情報が必要となる場合がございますので、あらかじめご準備いただくとお手続きがスムーズに進みます。

もしよろしければ、NTT東日本・西日本の公式サイトをご確認いただけますでしょうか。",0,×
15,事業者変更番号がほしいです、どうすればいいですか？,当社より事業者変更番号を払い出しいたしますので、0120-36-3624までお問合せください。\n\n事業者変更時のトラブルの一例です。(実例)\n・事業者変更後、インターネットが繋がらなくなった。\n・聞いていた料金よりも高額になった。\n当社でできていたサポートが、変更先では受けれなくなった。\・何か事業者側に依頼をするときに、ガイダンスや手間がかかるようになった。\n・当社よりレンタルで提供していたサービスを返却しないといけなくなった。\n・解約金・事業者変更手数料が返金されない、または費用負担があるとは聞いていなかった。\n・事業者変更後、営業担当者と連絡が繋がらなくなった。\n\n事業者変更についてのご案内\n・発行までお時間が要します。\n・ご契約者以外の対応は致しかねます。\n・支払状況により発行致しかねる場合がございます。\n・成りすまし防止のため、期間を開けてご契約者様の固定電話(固定がない場合は、携帯電話)へご連絡し、ご説明後事業者変更番号を発行します。\n\n発行後は、郵送にてお手元に届きます。\n新しく変更される事業者様へご提出ください。,"お問い合わせいただき、ありがとうございます。

申し訳ございませんが、ご質問いただいた「事業者変更承諾番号」の発行手続きにつきまして、お調べいたしましたが、こちらでは情報が見つかりませんでした。

大変お手数ではございますが、事業者変更承諾番号の発行をご希望の場合は、当社のサポート窓口まで直接ご連絡いただきますようお願いいたします。",0,×
16,IPv6とは何ですか,IPv6とは、インターネットプロトコルの第6版で、IPv4に続く次世代のインターネット通信の規格です。\n\n【IPv6の特徴】\nIPv4と比べてアドレスが128ビットに拡張されており、約340潤(かん)個のIPアドレスが使用可能です。\nIPv4の約43憶個と桁違いの差があり、地球上のあらゆるものをインターネットへ接続できる可能性があります。\nIPv4と比べて通信速度が速くなる可能性があります。\nIPoE方式による接続方式では、帯域幅の広い通信網を経由できるため、回線の混雑を避けることができます。\nIPSec(アイピーセック)という技術が組み込まれているため、セキュリティの改善につながります。,"お問い合わせありがとうございます。
IPv6についてご説明します。

IPv6とは、現在広く使われている「IPv4」に続く、次世代のインターネット通信規格です。

主な特徴は以下の通りです。

*   **膨大なIPアドレス数**
    IPv4に比べて利用できるIPアドレスの数が桁違いに多く（約340潤(かん)個）、今後インターネットに接続される機器が増えても対応できます。

*   **通信速度の向上**
    「IPoE」という新しい接続方式により、回線の混雑を避けやすくなるため、通信速度が向上する可能性があります。

*   **セキュリティの強化**
    「IPSec（アイピーセック）」というセキュリティ技術が標準で組み込まれており、より安全な通信が期待できます。

ご不明な点がございましたら、お気軽にお尋ねください。",0.895,〇
17,支払い方法を変更したい,請求書払い・口座振替・クレジット支払いの3種類からお選び頂けます。\n\n請求書払い手数料 275円\nご利用頂いた月の翌月中旬頃に毎月お手元に届きます。\n\n口座振替手数料 110円\nご利用頂いた月の翌月27日に引落\n\nクレジット支払い手数料 0円\n\n明細発行手数料 220円となります。,"お問い合わせいただき、ありがとうございます。

お支払い方法の変更をご希望とのこと、承知いたしました。
誠に恐れ入りますが、お支払い方法の変更手続きにつきましては、お電話にて承っております。

お手数をおかけいたしますが、以下の窓口までご連絡いただけますでしょうか。

【お問い合わせ窓口】
0120-36-3624

よろしくお願い申し上げます。",0.832,〇
18,電話回線の工事はしてもらえますか？,電話回線のみの工事でできます。\nスリムひかり電話ネクスト・スリムひかり電話ネクストAと2種類サービスがございます。\n\n-月額使用料金-\nスリムひかり電話ネクスト 2750円\nスリムひかり電話ネクストA 3850円※1\n税込\n1(ナンバーディスプレイ 440円・ボイスワープ 550円・キャッチホン 330円・迷惑電話お断りサービス 220円・ナンバーリクエスト 220円)\n\n契約期間は2年となり、満了以外の場合は2200円の解約金がかかります。,"お問い合わせいただき、ありがとうございます。
電話回線の工事についてですね。

申し訳ございませんが、いただいた情報の中に関連する内容が見当たらず、詳細なご案内をいたしかねます。

工事の具体的な内容やお手続きにつきましては、担当部署にて確認が必要となりますので、お手数ですがサポート窓口まで直接お問い合わせいただけますでしょうか。",0.776,〇
19,インターネットの速度が遅いので、改善したいです。,通信速度が遅くなる原因には、機器や回線、電波干渉、接続台数などさまざまな要因が考えられます。\n\n\再起動・Wi-Fiルーターの交換・位置変更・中継器の導入などで改善される場合がございます。\n\n【端末・機器側の問題】\nスマホ(パソコン)のストレージやメモリが不足している\nスマホ(パソコン)のOSがアップデートされていない\nスマホ本体(パソコン)やバッテリー劣化・故障している\n古い機種のスマホ(パソコン)を使っている\n\n【電波干渉の問題】\n電子レンジなどの電波を発する家電やBluetoothとの電波干渉\n5Gの電波が直進性が高いという特性\n電波が届かない\n\n【設定の問題】\nループ接続されている\n\n【接続台数】\nWi-Fiルーターごとに接続台数が決まっており、同時に利用してると通信速度が落ちる傾向がある,"お問い合わせいただきありがとうございます。
インターネットの速度が遅いとのこと、ご不便をおかけしております。

Wi-Fiの通信環境を見直すことで、速度が改善される場合がございます。
まず、Wi-Fiルーターとご利用端末の間に壁などの障害物がないか、また距離が離れすぎていないかをご確認ください。

その上で、ご利用の場所に応じてWi-Fiの周波数を切り替えていただくことで、通信が安定する可能性がございます。

*   **ルーターの近くで利用する場合**
    **5GHz**をお試しください。通信速度が速いことが特徴です。
*   **ルーターから遠い場所や、壁などを挟んだ部屋で利用する場合**
    **2.4GHz**をお試しください。障害物に強く、電波が届きやすい特徴があります。

よろしければ、上記の方法をお試しいただけますでしょうか。",0.877,〇
