No,質問,期待回答,実際回答,スコア,判定
30,支払方法を口座振替に変更したい場合、どうすればいいですか？,口座振替の登録書類を郵送。\n記入後、ポストに投函。\n当社で受理後、翌月から口座振替に変更。,"お問い合わせいただき、ありがとうございます。
お支払い方法を口座振替にご変更されたいとのこと、承知いたしました。

口座振替でのお支払いは可能でございます。
その場合、手数料として110円（税込）がかかり、ご利用月の翌月27日にお引き落としとなります。

大変申し訳ございませんが、具体的な変更手続きの方法につきましては、お調べすることができませんでした。
お手数をおかけいたしますが、詳細な手続きにつきましては、別途サポート窓口までお問い合わせいただけますでしょうか。",0.78,〇
31,支払方法をクレジット払いに変更したい場合、どうすればいいですか？,クレジットカードの登録URLをSMSまたはPCに送信。\n当社委託サイトでカード情報を登録。\n登録後、翌月からクレジット支払に変更。,"お支払い方法の変更に関するお問い合わせ、ありがとうございます。

お支払い方法は、クレジットカード払いのほか、請求書払い、口座振替、ドコモ携帯電話合算払いがご利用いただけます。
クレジットカード払いの場合、手数料はかかりません。

大変恐れ入りますが、具体的な変更手続きの方法につきましては、いただいた情報の中からは確認することができませんでした。
お手数ではございますが、契約者様専用サイトをご確認いただくか、担当窓口までお問い合わせくださいますようお願いいたします。",0.807,〇
32,スリム光サービスのインターネット速度はどのくらいですか？,利用するサービスにより、速度が異なる。\n\n■スリム光クロスタイプ(マンションタイプ)\n・最大10Gbps\n・複数台で同時に大容量データや動画視聴が快適\n\n■スリム光ギガタイプ(マンションタイプ)\n・最大1Gbps\n・一般的な光回線の速度で多く利用されている\n\n■スリム光マンションタイプ by VDSL\n・最大100Mbps\n・電話線を利用したマンション向け回線で、軽いWeb閲覧やメール向け\n\n※表示速度は最大値であり、実際の通信速度は利用環境や時間帯により異なる,"お問い合わせいただき、ありがとうございます。
スリム光サービスのインターネット速度についてですね。

申し訳ございません。お調べいたしましたが、ご質問いただいたインターネットの速度に関する情報が見つかりませんでした。

恐れ入りますが、ご契約プランによって速度が異なる場合がございますので、詳細につきましては担当部署へお問い合わせいただけますでしょうか。",0.0,×
33,ビジネスフォンの取り扱いはしておりますか,取り扱いしております。\n詳しくは0120-36-3624までお問い合わせくださいませ。,"お問い合わせいただき、ありがとうございます。

ビジネスフォンのお取り扱いについてですね。
申し訳ございませんが、お調べいたしましたが、ビジネスフォンに関する情報を見つけることができませんでした。

お手数をおかけしますが、詳細につきましては担当部署へご確認いただけますでしょうか。
お力になれず、大変申し訳ございません。",0.785,〇
34,複合機の取り扱いはしておりますか,取り扱いしております。\n詳しくは0120-36-3624までお問い合わせくださいませ。,"お問い合わせいただきありがとうございます。

複合機の取り扱いについてお調べいたしましたが、あいにく関連する情報が見つかりませんでした。
申し訳ございません。",0.0,×
35,防犯カメラの取り扱いはしておりますか,取り扱いしております。\n屋外用・屋内用やパンチルト対応の機器など様々な取り扱いがあり、セット価格でご提供ができます。\n詳しくは0120-36-3624までお問い合わせくださいませ。,"お問い合わせいただきありがとうございます。

申し訳ございません。お調べいたしましたが、防犯カメラの取り扱いに関する情報が見つかりませんでした。

お手数をおかけしますが、詳細につきましては担当窓口へご確認いただけますでしょうか。",0.0,×
36,インターネットの設定で、PPPoEとは何ですか？,PPPoEはインターネット接続方式の一つ。\n主にADSLや光回線で使用され、IDとパスワードで認証して接続。\n特徴：\n・接続時にID・パスワード認証が必要\n・接続に時間がかかる場合がある\n・安定した接続が求められる場合に適している\n\n類似の接続方式にIPoEがあるが、IPoEはID・パスワード無しで接続可能で、より高速。,"ご質問ありがとうございます。

PPPoE（ピーピーピーオーイー）とは、インターネットに接続するための通信方式の一つです。
主にADSLや光回線で利用されており、プロバイダから提供されるIDとパスワードを使って認証を行い、インターネットに接続します。

安定した接続が特徴ですが、接続時に認証が必要なため、少し時間がかかる場合があります。

なお、最近ではIDとパスワードが不要で、より高速な「IPoE」という新しい接続方式もございます。",0.82,〇
37,契約者の名義は変更できますか？,変更可能。\n変更手続きには、名義変更者の身分証明書が必要。\n名義変更には約1ヶ月ほどかかる。\n\n■必要書類\n・個人 → 個人(新)：新契約者の身分証明書（運転免許証、マイナンバーカード、健康保険証＋公共料金明細）\n・個人 → 法人：登記簿の写し\n・法人 → 個人：新契約者の身分証明書（運転免許証、マイナンバーカード、健康保険証＋公共料金）\n・法人 → 法人(新) ：登記簿の写し,"はい、契約者様の名義変更は可能でございます。

お手続きには、新しく名義人となられる方の身分証明書が必要です。なお、お手続き完了までには約1ヶ月ほどお時間をいただいております。

変更のパターンによって必要書類が異なりますので、以下をご確認ください。

**■お手続きに必要な書類**

*   **個人 → 個人への変更：**
    新契約者様の身分証明書（運転免許証、マイナンバーカード、健康保険証＋公共料金の明細など）
*   **個人 → 法人への変更：**
    登記簿の写し
*   **法人 → 個人への変更：**
    新契約者様の身分証明書（運転免許証、マイナンバーカード、健康保険証＋公共料金の明細など）
*   **法人 → 法人への変更：**
    登記簿の写し",0.797,〇
38,確定申告で通信費用の明細が必要です。ご利用明細を1年分送ってもらうことはできますか,可能です。\n手数料330円となります。\n0120-36-3624までお問い合わせいただき、郵送で送付いたします。,"はい、1年分のご利用明細をお送りすることが可能でございます。

発行手数料として330円を頂戴しております。
お手数ではございますが、下記のお問い合わせ窓口までご連絡ください。郵送にて手配させていただきます。

【お問い合わせ窓口】
0120-36-3624",0.839,〇
39,電話が故障しました。どのようにすればよろしいですか,新しい電話機をご用意ください。\n新しい電話機を設置後、それでも電話が利用できない場合は回線の故障が考えられます。\n0120-805-113までお問い合わせください。,"お電話が故障されたとのこと、ご不便をおかけしております。

誠に恐れ入りますが、お使いの電話機に関して、まずは以下の点をご確認いただけますでしょうか。

*   電話機本体の電源ケーブルや電話線が、壁の差込口やコンセントにしっかりと接続されているか
*   電話機の電源を一度切り、再度入れ直す（再起動）ことで改善されるか

もし上記をお試しいただいても状況が改善しない場合は、詳細な調査が必要となります。
お手数をおかけしますが、社内の情報システム部門や総務部など、電話設備を管理している部署へお問い合わせくださいますようお願いいたします。",0.807,〇
